Year, Month, Day,Home_ID, Home_name, Home_wins_last10, Home_wins_VERSUS_last2, Home_goals_lastGame, Home_assists_lastGame, Home_GA_startingGoalie, Home_SA_startingGoalie, Home_GA_allGoalies, Home_SA_allGoalies,Away_ID, Away_name, Away_wins_last10, Away_wins_VERSUS_last2, Away_goals_lastGame, Away_assists_lastGame, Away_GA_startingGoalie, Away_SA_startingGoalie, Away_GA_allGoalies, Away_SA_allGoalies,Home_Won
1952, 10, 9,17, Detroit Red Wings, 8, 2, 7, 5, 2, 0, 8, 0,11, New York Rangers, 3, 0, 5, 8, 0, 0, 16, 0,True
1952, 10, 9,1, Montreal Canadiens, 4, 1, 2, 2, 7, 0, 10, 0,12, Chicago Black Hawks, 3, 1, 4, 8, 1, 0, 23, 0,False
1952, 10, 11,1, Montreal Canadiens, 3, 0, 2, 3, 3, 0, 6, 0,17, Detroit Red Wings, 8, 2, 5, 5, 3, 0, 9, 0,True
1952, 10, 11,13, Toronto Maple Leafs, 5, 0, 0, 3, 6, 0, 13, 0,12, Chicago Black Hawks, 4, 2, 3, 3, 2, 0, 24, 0,False
1952, 10, 12,7, Boston Bruins, 8, 2, 2, 8, 2, 0, 9, 0,1, Montreal Canadiens, 4, 0, 2, 2, 1, 0, 4, 0,False
1952, 10, 12,12, Chicago Black Hawks, 4, 1, 6, 9, 2, 0, 24, 0,11, New York Rangers, 3, 1, 3, 5, 5, 0, 21, 0,True
1952, 10, 12,17, Detroit Red Wings, 7, 1, 1, 1, 2, 0, 8, 0,13, Toronto Maple Leafs, 4, 1, 2, 3, 6, 0, 11, 0,False
1952, 10, 14,12, Chicago Black Hawks, 5, 0, 2, 4, 0, 0, 20, 0,17, Detroit Red Wings, 7, 2, 4, 4, 4, 0, 8, 0,False
1952, 10, 16,7, Boston Bruins, 7, 1, 1, 1, 1, 0, 8, 0,13, Toronto Maple Leafs, 4, 1, 4, 6, 4, 0, 10, 0,True
1952, 10, 16,17, Detroit Red Wings, 7, 2, 1, 2, 1, 0, 3, 0,12, Chicago Black Hawks, 5, 0, 1, 1, 1, 0, 19, 0,True
1952, 10, 16,1, Montreal Canadiens, 5, 2, 1, 1, 1, 0, 4, 0,11, New York Rangers, 3, 0, 0, 0, 2, 0, 18, 0,True
1952, 10, 18,1, Montreal Canadiens, 5, 1, 3, 2, 1, 0, 4, 0,7, Boston Bruins, 8, 1, 2, 4, 1, 0, 8, 0,True
1952, 10, 18,13, Toronto Maple Leafs, 3, 2, 1, 1, 2, 0, 14, 0,11, New York Rangers, 2, 0, 1, 2, 3, 0, 19, 0,True
1952, 10, 19,7, Boston Bruins, 7, 1, 1, 2, 2, 0, 9, 0,11, New York Rangers, 2, 1, 3, 5, 4, 0, 20, 0,False
1952, 10, 19,12, Chicago Black Hawks, 5, 2, 0, 1, 7, 0, 26, 0,13, Toronto Maple Leafs, 4, 0, 4, 8, 3, 0, 15, 0,False
1952, 10, 19,17, Detroit Red Wings, 8, 1, 7, 11, 0, 0, 2, 0,1, Montreal Canadiens, 5, 1, 2, 3, 1, 0, 4, 0,True
1952, 10, 22,11, New York Rangers, 2, 2, 2, 3, 2, 0, 18, 0,7, Boston Bruins, 6, 0, 1, 4, 2, 0, 9, 0,False
1952, 10, 22,13, Toronto Maple Leafs, 5, 1, 3, 4, 2, 0, 10, 0,17, Detroit Red Wings, 8, 1, 6, 10, 1, 0, 3, 0,True
1952, 10, 23,12, Chicago Black Hawks, 5, 2, 2, 3, 3, 0, 23, 0,1, Montreal Canadiens, 5, 0, 1, 3, 6, 0, 9, 0,False
1952, 10, 25,1, Montreal Canadiens, 6, 1, 2, 1, 2, 0, 5, 0,17, Detroit Red Wings, 7, 1, 4, 5, 5, 0, 9, 0,True
1952, 10, 25,13, Toronto Maple Leafs, 5, 0, 5, 7, 4, 0, 11, 0,7, Boston Bruins, 6, 2, 3, 2, 3, 0, 10, 0,False
1952, 10, 26,12, Chicago Black Hawks, 5, 0, 2, 4, 2, 0, 22, 0,7, Boston Bruins, 6, 2, 4, 7, 0, 0, 7, 0,False
1952, 10, 26,11, New York Rangers, 2, 0, 3, 6, 3, 0, 19, 0,17, Detroit Red Wings, 6, 2, 0, 0, 9, 0, 13, 0,True
1952, 10, 29,11, New York Rangers, 3, 0, 3, 5, 2, 0, 18, 0,12, Chicago Black Hawks, 5, 2, 1, 2, 1, 0, 21, 0,False
1952, 10, 29,13, Toronto Maple Leafs, 4, 0, 2, 0, 4, 0, 10, 0,1, Montreal Canadiens, 6, 2, 9, 14, 0, 0, 3, 0,True
1952, 10, 30,12, Chicago Black Hawks, 5, 2, 3, 4, 1, 0, 22, 0,11, New York Rangers, 2, 0, 1, 1, 3, 0, 19, 0,True
1952, 10, 30,17, Detroit Red Wings, 5, 1, 2, 4, 3, 0, 8, 0,7, Boston Bruins, 6, 1, 1, 2, 1, 0, 8, 0,True
1952, 11, 1,1, Montreal Canadiens, 6, 2, 5, 8, 0, 0, 9, 0,11, New York Rangers, 2, 0, 3, 4, 8, 0, 24, 0,True
1952, 11, 1,13, Toronto Maple Leafs, 5, 0, 7, 9, 5, 0, 13, 0,7, Boston Bruins, 5, 2, 1, 1, 4, 0, 11, 0,True
1952, 11, 2,12, Chicago Black Hawks, 5, 0, 8, 12, 3, 0, 21, 0,7, Boston Bruins, 5, 2, 2, 1, 3, 0, 10, 0,True
1952, 11, 2,17, Detroit Red Wings, 5, 0, 4, 4, 1, 0, 3, 0,13, Toronto Maple Leafs, 6, 2, 3, 4, 2, 0, 8, 0,False
1952, 11, 2,11, New York Rangers, 2, 0, 1, 0, 4, 0, 20, 0,1, Montreal Canadiens, 7, 2, 4, 6, 1, 0, 10, 0,False
1952, 11, 5,13, Toronto Maple Leafs, 7, 2, 4, 4, 2, 0, 8, 0,11, New York Rangers, 2, 0, 2, 4, 5, 0, 18, 0,True
1952, 11, 6,7, Boston Bruins, 4, 1, 2, 1, 4, 0, 11, 0,17, Detroit Red Wings, 4, 1, 2, 3, 4, 0, 5, 0,True
1952, 11, 6,1, Montreal Canadiens, 8, 1, 2, 3, 2, 0, 11, 0,13, Toronto Maple Leafs, 8, 1, 4, 5, 1, 0, 7, 0,True
1952, 11, 8,1, Montreal Canadiens, 8, 1, 3, 4, 0, 0, 10, 0,12, Chicago Black Hawks, 5, 1, 4, 6, 1, 0, 20, 0,True
1952, 11, 8,13, Toronto Maple Leafs, 7, 2, 1, 1, 3, 0, 14, 0,17, Detroit Red Wings, 4, 0, 0, 0, 2, 0, 5, 0,False
1952, 11, 9,7, Boston Bruins, 5, 1, 2, 1, 0, 0, 7, 0,12, Chicago Black Hawks, 4, 1, 4, 4, 6, 0, 25, 0,True
1952, 11, 9,17, Detroit Red Wings, 5, 1, 3, 4, 3, 0, 6, 0,11, New York Rangers, 2, 1, 1, 0, 2, 0, 17, 0,True
1952, 11, 11,7, Boston Bruins, 5, 1, 4, 7, 1, 0, 8, 0,13, Toronto Maple Leafs, 7, 1, 3, 4, 3, 0, 12, 0,True
1952, 11, 12,11, New York Rangers, 2, 0, 1, 2, 3, 0, 18, 0,12, Chicago Black Hawks, 3, 2, 0, 2, 4, 0, 24, 0,True
1952, 11, 13,12, Chicago Black Hawks, 3, 1, 2, 3, 5, 0, 25, 0,11, New York Rangers, 3, 1, 5, 5, 2, 0, 17, 0,True
1952, 11, 13,17, Detroit Red Wings, 5, 1, 3, 6, 1, 0, 5, 0,7, Boston Bruins, 6, 1, 4, 6, 0, 0, 7, 0,True
1952, 11, 13,1, Montreal Canadiens, 8, 1, 6, 9, 6, 0, 14, 0,13, Toronto Maple Leafs, 6, 1, 0, 0, 4, 0, 11, 0,False
1952, 11, 15,1, Montreal Canadiens, 7, 2, 1, 1, 3, 0, 11, 0,7, Boston Bruins, 6, 0, 0, 0, 3, 0, 10, 0,True
1952, 11, 15,13, Toronto Maple Leafs, 6, 1, 3, 5, 1, 0, 8, 0,12, Chicago Black Hawks, 4, 1, 6, 6, 2, 0, 19, 0,False
1952, 11, 16,7, Boston Bruins, 5, 1, 0, 0, 2, 0, 9, 0,17, Detroit Red Wings, 5, 1, 3, 5, 0, 0, 3, 0,False
1952, 11, 16,12, Chicago Black Hawks, 5, 0, 3, 5, 1, 0, 20, 0,1, Montreal Canadiens, 7, 2, 2, 4, 0, 0, 8, 0,True
1952, 11, 16,11, New York Rangers, 2, 0, 3, 5, 6, 0, 21, 0,13, Toronto Maple Leafs, 5, 2, 1, 1, 3, 0, 9, 0,False
1952, 11, 19,11, New York Rangers, 2, 1, 3, 4, 4, 0, 21, 0,17, Detroit Red Wings, 5, 1, 5, 6, 2, 0, 5, 0,False
1952, 11, 19,13, Toronto Maple Leafs, 6, 1, 5, 7, 3, 0, 9, 0,7, Boston Bruins, 4, 1, 2, 3, 5, 0, 12, 0,False
1952, 11, 20,12, Chicago Black Hawks, 6, 1, 4, 7, 1, 0, 19, 0,7, Boston Bruins, 4, 1, 2, 3, 1, 0, 8, 0,True
1952, 11, 22,17, Detroit Red Wings, 6, 2, 2, 2, 2, 0, 4, 0,12, Chicago Black Hawks, 7, 0, 3, 3, 1, 0, 19, 0,True
1952, 11, 22,13, Toronto Maple Leafs, 5, 1, 1, 2, 2, 0, 17, 0,1, Montreal Canadiens, 7, 1, 1, 1, 4, 0, 12, 0,False
1952, 11, 23,7, Boston Bruins, 4, 2, 1, 1, 2, 0, 9, 0,13, Toronto Maple Leafs, 4, 0, 2, 3, 2, 0, 17, 0,True
1952, 11, 23,12, Chicago Black Hawks, 6, 0, 2, 2, 10, 0, 32, 0,17, Detroit Red Wings, 7, 2, 10, 13, 1, 0, 7, 0,True
1952, 11, 23,11, New York Rangers, 1, 0, 2, 4, 2, 0, 19, 0,1, Montreal Canadiens, 7, 2, 2, 3, 2, 0, 10, 0,False
1952, 11, 26,11, New York Rangers, 1, 0, 2, 3, 2, 0, 19, 0,13, Toronto Maple Leafs, 3, 2, 5, 9, 6, 0, 11, 0,True
1952, 11, 27,7, Boston Bruins, 5, 1, 6, 9, 5, 0, 12, 0,11, New York Rangers, 2, 1, 3, 4, 2, 0, 19, 0,True
1952, 11, 27,12, Chicago Black Hawks, 6, 1, 3, 4, 0, 0, 20, 0,13, Toronto Maple Leafs, 2, 1, 2, 2, 4, 0, 9, 0,False
1952, 11, 27,17, Detroit Red Wings, 7, 1, 0, 0, 3, 0, 6, 0,1, Montreal Canadiens, 7, 1, 2, 3, 2, 0, 10, 0,False
1952, 11, 29,1, Montreal Canadiens, 8, 1, 2, 2, 2, 0, 10, 0,12, Chicago Black Hawks, 5, 1, 2, 3, 3, 0, 22, 0,False
1952, 11, 29,13, Toronto Maple Leafs, 3, 1, 3, 3, 3, 0, 9, 0,17, Detroit Red Wings, 6, 1, 2, 3, 2, 0, 5, 0,False
1952, 11, 30,7, Boston Bruins, 6, 0, 3, 6, 1, 0, 8, 0,1, Montreal Canadiens, 7, 2, 1, 2, 1, 0, 9, 0,True
1952, 11, 30,12, Chicago Black Hawks, 6, 1, 1, 2, 1, 0, 20, 0,11, New York Rangers, 2, 1, 1, 2, 3, 0, 20, 0,False
1952, 11, 30,17, Detroit Red Wings, 7, 2, 3, 4, 1, 0, 4, 0,13, Toronto Maple Leafs, 3, 0, 1, 2, 3, 0, 9, 0,True
1952, 12, 3,11, New York Rangers, 3, 1, 1, 1, 1, 0, 18, 0,12, Chicago Black Hawks, 6, 1, 1, 1, 1, 0, 21, 0,False
1952, 12, 4,7, Boston Bruins, 6, 1, 3, 6, 1, 0, 8, 0,12, Chicago Black Hawks, 7, 1, 5, 7, 3, 0, 23, 0,True
1952, 12, 4,17, Detroit Red Wings, 8, 2, 4, 8, 1, 0, 5, 0,11, New York Rangers, 3, 0, 3, 6, 5, 0, 22, 0,True
1952, 12, 4,1, Montreal Canadiens, 6, 1, 1, 2, 3, 0, 11, 0,13, Toronto Maple Leafs, 3, 1, 2, 1, 4, 0, 14, 0,False
1952, 12, 6,12, Chicago Black Hawks, 6, 1, 1, 2, 5, 0, 22, 0,17, Detroit Red Wings, 8, 1, 5, 6, 3, 0, 4, 0,False
1952, 12, 6,1, Montreal Canadiens, 5, 1, 1, 2, 2, 0, 10, 0,7, Boston Bruins, 6, 1, 5, 9, 1, 0, 8, 0,False
1952, 12, 6,13, Toronto Maple Leafs, 3, 1, 2, 4, 1, 0, 8, 0,11, New York Rangers, 3, 1, 3, 5, 5, 0, 22, 0,False
1952, 12, 7,12, Chicago Black Hawks, 5, 1, 1, 0, 2, 0, 20, 0,13, Toronto Maple Leafs, 3, 1, 2, 4, 2, 0, 9, 0,False
1952, 12, 7,17, Detroit Red Wings, 8, 2, 2, 3, 0, 0, 0, 0,7, Boston Bruins, 6, 0, 2, 2, 1, 0, 8, 0,False
1952, 12, 7,11, New York Rangers, 3, 0, 2, 2, 2, 0, 19, 0,1, Montreal Canadiens, 4, 2, 1, 1, 2, 0, 10, 0,False
1952, 12, 10,11, New York Rangers, 3, 0, 2, 2, 2, 0, 19, 0,7, Boston Bruins, 7, 2, 1, 1, 1, 0, 8, 0,False
1952, 12, 10,13, Toronto Maple Leafs, 3, 1, 2, 3, 0, 0, 7, 0,1, Montreal Canadiens, 5, 1, 2, 3, 2, 0, 10, 0,False
1952, 12, 11,7, Boston Bruins, 8, 1, 4, 4, 1, 0, 8, 0,17, Detroit Red Wings, 7, 1, 1, 1, 1, 0, 3, 0,False
1952, 12, 11,12, Chicago Black Hawks, 4, 2, 0, 0, 2, 0, 20, 0,1, Montreal Canadiens, 5, 0, 2, 4, 1, 0, 9, 0,False
1952, 12, 13,1, Montreal Canadiens, 6, 1, 3, 5, 2, 0, 10, 0,12, Chicago Black Hawks, 3, 1, 2, 4, 3, 0, 21, 0,True
1952, 12, 13,13, Toronto Maple Leafs, 3, 0, 1, 2, 2, 0, 10, 0,17, Detroit Red Wings, 7, 2, 10, 15, 1, 0, 3, 0,False
1952, 12, 14,7, Boston Bruins, 8, 1, 1, 0, 10, 0, 17, 0,12, Chicago Black Hawks, 3, 1, 0, 0, 3, 0, 22, 0,False
1952, 12, 14,17, Detroit Red Wings, 7, 0, 3, 3, 1, 0, 4, 0,1, Montreal Canadiens, 6, 2, 3, 5, 0, 0, 8, 0,False
1952, 12, 14,11, New York Rangers, 3, 2, 1, 2, 4, 0, 21, 0,13, Toronto Maple Leafs, 3, 0, 1, 0, 3, 0, 10, 0,False
