Year,Month,Day,Home_ID,Home_name,Home_wins_last10,Home_wins_VERSUS_last2,Home_goals_lastGame,Home_assists_lastGame,Home_GA_startingGoalie,Home_SA_startingGoalie,Home_GA_allGoalies,Home_SA_allGoalies,Away_ID,Away_name,Away_wins_last10,Away_wins_VERSUS_last2,Away_goals_lastGame,Away_assists_lastGame,Away_GA_startingGoalie,Away_SA_startingGoalie,Away_GA_allGoalies,Away_SA_allGoalies,Home_Won
1928,11,15,12,Detroit Cougars,6,0,7,4,0,0,4,0,10,New York Rangers,6,2,3,0,8,0,19,0,False
1928,11,15,0,Montreal Canadiens,7,1,4,4,0,0,5,0,7,Montreal Maroons,7,1,8,5,4,0,5,0,True
1928,11,15,2,Ottawa Senators,6,2,0,0,4,0,4,0,9,New York Americans,2,0,1,2,1,0,9,0,False
1928,11,15,8,Pittsburgh Pirates,7,1,4,1,3,0,7,0,6,Boston Bruins,6,1,1,1,0,0,17,0,False
1928,11,15,13,Toronto Maple Leafs,3,2,3,2,4,0,4,0,11,Chicago Black Hawks,0,0,2,0,6,0,15,0,True
1928,11,17,7,Montreal Maroons,7,2,1,1,3,0,3,0,11,Chicago Black Hawks,0,0,0,0,2,0,11,0,True
1928,11,17,2,Ottawa Senators,5,0,0,0,0,0,0,0,6,Boston Bruins,6,2,1,0,0,0,17,0,False
1928,11,17,13,Toronto Maple Leafs,4,2,3,2,0,0,0,0,0,Montreal Canadiens,7,0,3,2,1,0,6,0,True
1928,11,18,12,Detroit Cougars,5,1,0,0,2,0,6,0,8,Pittsburgh Pirates,7,1,0,0,1,0,5,0,True
1928,11,18,9,New York Americans,2,0,0,0,0,0,8,0,10,New York Rangers,6,2,2,1,0,0,9,0,False
1928,11,20,6,Boston Bruins,6,1,2,2,2,0,19,0,0,Montreal Canadiens,7,1,3,1,4,0,9,0,False
1928,11,20,11,Chicago Black Hawks,0,0,2,0,4,0,13,0,8,Pittsburgh Pirates,6,2,1,1,3,0,7,0,False
1928,11,20,10,New York Rangers,6,1,1,0,1,0,10,0,7,Montreal Maroons,7,1,4,3,2,0,3,0,False
1928,11,20,2,Ottawa Senators,5,2,2,2,2,0,2,0,13,Toronto Maple Leafs,5,0,4,5,2,0,3,0,True
1928,11,22,11,Chicago Black Hawks,0,0,0,0,2,0,11,0,10,New York Rangers,5,2,0,0,1,0,12,0,False
1928,11,22,12,Detroit Cougars,5,1,3,1,1,0,5,0,6,Boston Bruins,5,1,0,0,1,0,18,0,True
1928,11,22,7,Montreal Maroons,7,1,1,0,0,0,1,0,2,Ottawa Senators,5,1,4,5,1,0,1,0,False
1928,11,22,9,New York Americans,1,0,1,0,1,0,6,0,13,Toronto Maple Leafs,5,2,1,0,4,0,5,0,True
1928,11,22,8,Pittsburgh Pirates,7,1,2,2,0,0,4,0,0,Montreal Canadiens,7,1,1,0,0,0,5,0,False
1928,11,24,0,Montreal Canadiens,7,1,0,0,0,0,5,0,9,New York Americans,2,1,3,2,5,0,5,0,False
1928,11,24,2,Ottawa Senators,6,2,1,2,0,0,0,0,12,Detroit Cougars,5,0,2,1,0,0,4,0,False
1928,11,24,13,Toronto Maple Leafs,5,0,0,0,3,0,4,0,7,Montreal Maroons,6,2,0,0,1,0,1,0,True
1928,11,25,11,Chicago Black Hawks,0,0,1,1,2,0,11,0,6,Boston Bruins,5,2,0,0,2,0,19,0,False
1928,11,25,10,New York Rangers,6,1,2,1,1,0,9,0,8,Pittsburgh Pirates,7,1,0,0,0,0,4,0,True
1928,11,27,6,Boston Bruins,5,1,1,1,1,0,18,0,8,Pittsburgh Pirates,6,1,0,0,2,0,6,0,True
1928,11,27,7,Montreal Maroons,5,1,1,1,4,0,4,0,13,Toronto Maple Leafs,6,1,4,6,1,0,1,0,True
1928,11,27,9,New York Americans,3,1,4,1,0,0,4,0,2,Ottawa Senators,5,1,1,0,1,0,1,0,True
1928,11,29,12,Detroit Cougars,6,1,1,1,1,0,5,0,7,Montreal Maroons,6,1,4,2,0,0,0,0,False
1928,11,29,0,Montreal Canadiens,6,2,3,1,4,0,9,0,8,Pittsburgh Pirates,5,0,0,0,1,0,5,0,False
1928,11,29,10,New York Rangers,7,2,2,1,0,0,11,0,11,Chicago Black Hawks,0,0,1,0,1,0,10,0,True
1928,12,1,7,Montreal Maroons,6,2,1,1,1,0,1,0,10,New York Rangers,7,0,2,1,1,0,12,0,True
1928,12,1,2,Ottawa Senators,4,0,0,0,1,0,1,0,0,Montreal Canadiens,5,2,1,0,1,0,6,0,False
1928,12,1,8,Pittsburgh Pirates,5,2,1,0,1,0,5,0,11,Chicago Black Hawks,0,0,1,0,2,0,11,0,False
1928,12,1,13,Toronto Maple Leafs,5,1,0,0,4,0,7,0,9,New York Americans,4,1,1,0,0,0,6,0,True
1928,12,2,12,Detroit Cougars,6,2,1,0,1,0,5,0,9,New York Americans,4,0,0,0,2,0,11,0,True
1928,12,4,6,Boston Bruins,5,1,1,1,0,0,17,0,10,New York Rangers,7,1,0,0,3,0,10,0,True
1928,12,4,0,Montreal Canadiens,6,0,2,3,0,0,5,0,13,Toronto Maple Leafs,6,2,3,1,0,0,2,0,False
1928,12,6,7,Montreal Maroons,6,2,3,3,0,0,0,0,9,New York Americans,4,0,1,0,2,0,11,0,True
1928,12,6,2,Ottawa Senators,3,2,0,0,2,0,2,0,11,Chicago Black Hawks,1,0,3,2,2,0,11,0,True
1928,12,6,8,Pittsburgh Pirates,4,1,2,1,3,0,9,0,10,New York Rangers,6,1,0,0,2,0,10,0,False
1928,12,8,6,Boston Bruins,5,1,2,1,0,0,17,0,7,Montreal Maroons,7,1,4,2,1,0,1,0,True
1928,12,8,0,Montreal Canadiens,6,2,1,1,3,0,8,0,11,Chicago Black Hawks,1,0,0,0,2,0,11,0,True
1928,12,8,8,Pittsburgh Pirates,3,1,0,0,0,0,6,0,12,Detroit Cougars,7,1,2,1,1,0,5,0,False
1928,12,8,13,Toronto Maple Leafs,6,0,3,1,1,0,1,0,2,Ottawa Senators,4,2,2,1,0,0,0,0,False
1928,12,9,12,Detroit Cougars,7,0,3,1,0,0,4,0,10,New York Rangers,6,2,0,0,0,0,9,0,False
1928,12,9,9,New York Americans,4,0,1,1,4,0,13,0,6,Boston Bruins,6,2,5,1,1,0,18,0,True
1928,12,11,6,Boston Bruins,6,1,1,0,2,0,19,0,9,New York Americans,5,1,2,0,1,0,10,0,False
1928,12,11,11,Chicago Black Hawks,1,0,1,1,2,0,11,0,2,Ottawa Senators,4,2,2,1,1,0,1,0,True
1928,12,11,7,Montreal Maroons,6,2,1,0,5,0,5,0,12,Detroit Cougars,6,0,2,1,2,0,6,0,True
1928,12,11,10,New York Rangers,7,1,2,1,2,0,11,0,13,Toronto Maple Leafs,5,1,1,1,2,0,4,0,True
1928,12,13,12,Detroit Cougars,6,1,0,1,2,0,6,0,2,Ottawa Senators,4,1,1,0,2,0,2,0,False
1928,12,13,0,Montreal Canadiens,6,2,2,0,1,0,6,0,10,New York Rangers,7,0,3,3,2,0,12,0,False
1928,12,13,9,New York Americans,6,0,3,0,0,0,9,0,7,Montreal Maroons,7,2,2,1,1,0,1,0,True
1928,12,15,7,Montreal Maroons,6,0,1,0,2,0,2,0,0,Montreal Canadiens,5,2,2,3,3,0,8,0,False
1928,12,15,2,Ottawa Senators,5,1,1,1,1,0,1,0,8,Pittsburgh Pirates,2,1,0,0,3,0,6,0,False
1928,12,15,13,Toronto Maple Leafs,5,1,2,2,3,0,5,0,6,Boston Bruins,6,1,0,0,3,0,20,0,True
1928,12,16,11,Chicago Black Hawks,2,1,2,0,1,0,10,0,9,New York Americans,6,1,2,2,1,0,7,0,False
1928,12,16,10,New York Rangers,7,2,3,3,2,0,9,0,12,Detroit Cougars,5,0,1,1,1,0,5,0,True
1928,12,18,6,Boston Bruins,5,0,0,0,2,0,19,0,12,Detroit Cougars,5,2,0,0,3,0,7,0,True
1928,12,18,11,Chicago Black Hawks,2,0,0,0,1,0,10,0,0,Montreal Canadiens,5,2,0,0,0,0,5,0,False
1928,12,18,9,New York Americans,7,0,1,1,0,0,6,0,8,Pittsburgh Pirates,3,2,0,0,0,0,2,0,True
1928,12,18,2,Ottawa Senators,5,1,0,0,0,0,0,0,7,Montreal Maroons,5,1,0,0,0,0,0,0,False
1928,12,20,12,Detroit Cougars,4,1,3,1,3,0,7,0,0,Montreal Canadiens,6,1,5,2,0,0,5,0,True
1928,12,20,7,Montreal Maroons,6,1,2,1,1,0,1,0,13,Toronto Maple Leafs,5,1,2,2,0,0,0,0,True
1928,12,20,10,New York Rangers,8,1,3,3,0,0,13,0,2,Ottawa Senators,4,1,1,1,2,0,2,0,True
1928,12,20,8,Pittsburgh Pirates,3,1,0,0,2,0,4,0,9,New York Americans,7,1,2,1,0,0,8,0,True
1928,12,22,0,Montreal Canadiens,5,2,1,1,5,0,10,0,2,Ottawa Senators,3,0,0,0,1,0,1,0,True
1928,12,22,13,Toronto Maple Leafs,4,0,3,2,6,0,6,0,8,Pittsburgh Pirates,3,2,1,0,0,0,3,0,False
1928,12,23,9,New York Americans,6,0,0,0,1,0,9,0,12,Detroit Cougars,4,2,4,4,1,0,5,0,False
1928,12,25,6,Boston Bruins,5,2,3,2,1,0,18,0,11,Chicago Black Hawks,2,0,0,0,5,0,14,0,False
1928,12,25,10,New York Rangers,8,2,1,1,0,0,10,0,9,New York Americans,5,0,0,0,2,0,10,0,False
1928,12,25,13,Toronto Maple Leafs,4,0,2,1,3,0,4,0,7,Montreal Maroons,7,2,6,2,3,0,3,0,True
1928,12,27,0,Montreal Canadiens,5,0,1,0,0,0,5,0,12,Detroit Cougars,4,2,2,2,0,0,4,0,True
1928,12,27,9,New York Americans,6,2,1,1,0,0,8,0,11,Chicago Black Hawks,3,0,2,2,1,0,10,0,False
1928,12,27,8,Pittsburgh Pirates,4,2,3,0,2,0,6,0,13,Toronto Maple Leafs,5,0,4,2,1,0,2,0,False
1928,12,29,7,Montreal Maroons,6,1,1,1,4,0,4,0,8,Pittsburgh Pirates,4,1,0,0,2,0,6,0,False
1928,12,29,2,Ottawa Senators,3,0,0,0,1,0,1,0,9,New York Americans,6,2,0,0,2,0,10,0,False
1928,12,29,13,Toronto Maple Leafs,5,1,2,1,0,0,1,0,12,Detroit Cougars,4,1,0,0,3,0,7,0,True
1928,12,30,12,Detroit Cougars,3,1,3,3,4,0,8,0,11,Chicago Black Hawks,4,1,2,1,0,0,9,0,True
1928,12,30,10,New York Rangers,7,1,0,0,1,0,11,0,6,Boston Bruins,5,1,1,0,2,0,19,0,True
1929,1,1,6,Boston Bruins,5,2,0,0,2,0,19,0,2,Ottawa Senators,3,0,2,0,2,0,2,0,True
1929,1,1,11,Chicago Black Hawks,4,0,1,1,3,0,12,0,12,Detroit Cougars,3,2,3,2,1,0,5,0,False
1929,1,1,9,New York Americans,7,1,2,0,2,0,10,0,0,Montreal Canadiens,6,1,3,1,0,0,5,0,False
1929,1,1,8,Pittsburgh Pirates,5,2,3,1,2,0,5,0,7,Montreal Maroons,5,0,2,1,0,0,3,0,False
1929,1,1,13,Toronto Maple Leafs,6,0,4,3,3,0,3,0,10,New York Rangers,7,2,2,2,0,0,10,0,False
1929,1,3,11,Chicago Black Hawks,4,0,1,1,2,0,11,0,13,Toronto Maple Leafs,5,2,2,1,3,0,5,0,False
1929,1,3,7,Montreal Maroons,5,0,4,3,2,0,5,0,6,Boston Bruins,5,2,3,2,0,0,17,0,False
1929,1,3,10,New York Rangers,8,2,3,2,2,0,9,0,8,Pittsburgh Pirates,4,0,2,1,4,0,7,0,False
1929,1,3,2,Ottawa Senators,3,0,0,0,3,0,3,0,0,Montreal Canadiens,7,2,1,0,1,0,6,0,False
1929,1,5,6,Boston Bruins,5,2,1,0,0,0,17,0,8,Pittsburgh Pirates,5,0,2,1,2,0,5,0,True
1929,1,5,0,Montreal Canadiens,7,2,1,1,1,0,6,0,7,Montreal Maroons,4,0,0,0,3,0,4,0,False
1929,1,5,13,Toronto Maple Leafs,5,0,2,2,0,0,2,0,2,Ottawa Senators,2,2,1,0,1,0,1,0,True
1929,1,6,11,Chicago Black Hawks,3,0,0,0,2,0,11,0,12,Detroit Cougars,4,2,2,2,1,0,5,0,False
1929,1,6,9,New York Americans,6,1,1,1,1,0,11,0,10,New York Rangers,8,1,2,2,2,0,10,0,False
1929,1,8,6,Boston Bruins,5,0,3,2,2,0,19,0,13,Toronto Maple Leafs,6,2,3,2,1,0,1,0,True
1929,1,8,7,Montreal Maroons,5,1,0,0,0,0,1,0,2,Ottawa Senators,1,1,1,0,3,0,3,0,False
1929,1,8,8,Pittsburgh Pirates,5,1,2,1,3,0,5,0,11,Chicago Black Hawks,3,1,1,0,3,0,12,0,True
1929,1,10,11,Chicago Black Hawks,3,0,0,0,1,0,10,0,7,Montreal Maroons,4,2,1,1,1,0,2,0,False
1929,1,10,12,Detroit Cougars,5,2,3,2,1,0,5,0,8,Pittsburgh Pirates,6,0,1,1,0,0,2,0,True
1929,1,10,0,Montreal Canadiens,7,1,0,0,0,0,5,0,6,Boston Bruins,5,1,5,2,2,0,19,0,False
1929,1,10,9,New York Americans,5,1,0,0,0,0,11,0,13,Toronto Maple Leafs,6,1,2,1,0,0,5,0,True
1929,1,10,2,Ottawa Senators,2,0,1,0,1,0,1,0,10,New York Rangers,8,2,0,0,0,0,7,0,False
1929,1,12,6,Boston Bruins,6,1,4,4,2,0,19,0,12,Detroit Cougars,6,1,4,3,1,0,5,0,True
1929,1,12,7,Montreal Maroons,5,1,1,1,1,0,2,0,0,Montreal Canadiens,6,1,2,0,4,0,9,0,False
1929,1,12,8,Pittsburgh Pirates,5,1,1,1,4,0,6,0,2,Ottawa Senators,1,1,3,0,9,0,9,0,False
1929,1,12,13,Toronto Maple Leafs,5,1,0,0,0,0,5,0,9,New York Americans,5,1,2,1,0,0,9,0,False
1929,1,13,11,Chicago Black Hawks,2,1,1,0,1,0,10,0,8,Pittsburgh Pirates,5,1,1,1,2,0,4,0,False
1929,1,13,10,New York Rangers,8,2,9,6,3,0,11,0,12,Detroit Cougars,6,0,2,0,3,0,7,0,True
1929,1,15,6,Boston Bruins,7,1,3,1,2,0,19,0,10,New York Rangers,8,1,1,0,0,0,8,0,True
1929,1,15,0,Montreal Canadiens,7,2,3,1,1,0,6,0,11,Chicago Black Hawks,2,0,1,0,1,0,10,0,True
1929,1,15,9,New York Americans,5,2,1,0,0,0,8,0,2,Ottawa Senators,2,0,2,1,1,0,1,0,False
1929,1,17,12,Detroit Cougars,6,0,0,0,1,0,5,0,6,Boston Bruins,8,2,4,2,1,0,18,0,False
1929,1,17,7,Montreal Maroons,5,1,1,0,1,0,4,0,9,New York Americans,4,1,1,1,1,0,9,0,False
1929,1,17,10,New York Rangers,7,2,1,2,4,0,12,0,11,Chicago Black Hawks,2,0,0,0,1,0,10,0,True
1929,1,17,13,Toronto Maple Leafs,5,2,0,0,1,0,3,0,0,Montreal Canadiens,7,0,1,0,0,0,5,0,False
1929,1,19,0,Montreal Canadiens,7,1,1,0,1,0,6,0,10,New York Rangers,7,1,1,0,0,0,8,0,False
