Year,Month,Day,Home_ID,Home_name,Home_wins_last10,Home_wins_VERSUS_last2,Home_goals_lastGame,Home_assists_lastGame,Home_GA_startingGoalie,Home_SA_startingGoalie,Home_GA_allGoalies,Home_SA_allGoalies,Away_ID,Away_name,Away_wins_last10,Away_wins_VERSUS_last2,Away_goals_lastGame,Away_assists_lastGame,Away_GA_startingGoalie,Away_SA_startingGoalie,Away_GA_allGoalies,Away_SA_allGoalies,Home_Won
1975,10,7,30,Washington Capitals,2,1,10,15,4,32,11,91,20,Pittsburgh Penguins,6,1,4,7,0,0,24,172,False
1975,10,8,29,Atlanta Flames,7,1,0,4,6,43,9,69,27,California Golden Seals,1,1,1,5,5,47,21,184,False
1975,10,8,16,Detroit Red Wings,4,1,2,4,4,23,29,117,21,St. Louis Blues,7,1,2,5,2,26,16,113,False
1975,10,8,31,Kansas City Scouts,1,0,2,3,3,39,11,90,28,New York Islanders,6,2,5,9,4,25,10,96,False
1975,10,8,24,Minnesota North Stars,3,1,0,1,5,28,18,123,25,Vancouver Canucks,6,1,2,7,2,16,19,93,False
1975,10,8,0,Montreal Canadiens,7,2,4,5,2,35,12,94,22,Los Angeles Kings,7,0,2,1,1,32,3,72,True
1975,10,8,10,New York Rangers,5,1,5,5,2,9,18,123,11,Chicago Black Hawks,4,1,2,4,0,28,16,91,False
1975,10,9,6,Boston Bruins,3,0,1,6,0,0,11,79,0,Montreal Canadiens,7,2,9,13,0,28,10,87,False
1975,10,9,26,Buffalo Sabres,7,1,4,5,2,25,11,103,16,Detroit Red Wings,4,1,1,2,1,34,26,128,True
1975,10,9,23,Philadelphia Flyers,9,2,5,7,5,27,9,58,30,Washington Capitals,2,0,3,3,5,45,11,82,True
1975,10,10,29,Atlanta Flames,6,1,3,6,3,26,7,45,10,New York Rangers,4,1,3,3,3,28,21,164,False
1975,10,11,16,Detroit Red Wings,4,0,0,0,4,45,29,139,27,California Golden Seals,2,2,4,6,1,30,19,171,False
1975,10,11,31,Kansas City Scouts,1,1,1,1,1,26,9,77,25,Vancouver Canucks,6,1,2,2,2,27,19,104,True
1975,10,11,24,Minnesota North Stars,2,0,2,4,0,0,16,125,23,Philadelphia Flyers,9,2,5,7,4,28,8,59,False
1975,10,11,0,Montreal Canadiens,8,1,9,15,4,31,14,90,21,St. Louis Blues,7,1,1,1,1,19,13,102,True
1975,10,11,28,New York Islanders,7,1,2,2,4,37,7,91,22,Los Angeles Kings,6,1,0,0,9,48,11,88,True
1975,10,11,20,Pittsburgh Penguins,6,1,4,7,2,18,25,204,30,Washington Capitals,2,1,3,3,4,23,11,87,True
1975,10,11,13,Toronto Maple Leafs,5,1,4,4,3,20,25,150,11,Chicago Black Hawks,5,1,2,3,2,32,18,95,True
1975,10,12,6,Boston Bruins,2,1,5,7,2,5,16,79,28,New York Islanders,7,1,7,14,1,20,3,75,False
1975,10,12,26,Buffalo Sabres,7,1,4,5,0,18,9,96,13,Toronto Maple Leafs,6,1,2,4,1,32,23,162,True
1975,10,12,11,Chicago Black Hawks,4,0,1,2,2,37,18,100,25,Vancouver Canucks,6,2,2,5,3,36,20,113,True
1975,10,12,10,New York Rangers,5,1,2,4,2,22,19,162,22,Los Angeles Kings,5,1,0,0,2,40,9,70,False
