Year, Month, Day,Home_ID, Home_name, Home_wins_last10, Home_wins_VERSUS_last2, Home_goals_lastGame, Home_assists_lastGame, Home_GA_startingGoalie, Home_SA_startingGoalie, Home_GA_allGoalies, Home_SA_allGoalies,Away_ID, Away_name, Away_wins_last10, Away_wins_VERSUS_last2, Away_goals_lastGame, Away_assists_lastGame, Away_GA_startingGoalie, Away_SA_startingGoalie, Away_GA_allGoalies, Away_SA_allGoalies,Home_Won
1965, 10, 23,1, Montreal Canadiens, 6, 1, 5, 8, 3, 18, 22, 173,17, Detroit Red Wings, 8, 1, 2, 3, 3, 31, 25, 192,True
1965, 10, 23,13, Toronto Maple Leafs, 5, 1, 3, 5, 0, 37, 6, 124,12, Chicago Black Hawks, 3, 1, 1, 2, 3, 31, 6, 51,False
1965, 10, 24,7, Boston Bruins, 4, 2, 4, 3, 6, 39, 25, 190,12, Chicago Black Hawks, 4, 0, 5, 3, 0, 21, 3, 41,False
1965, 10, 24,17, Detroit Red Wings, 7, 1, 1, 1, 8, 36, 30, 197,13, Toronto Maple Leafs, 4, 1, 0, 0, 4, 42, 10, 112,True
1965, 10, 24,11, New York Rangers, 1, 0, 2, 6, 0, 0, 25, 211,1, Montreal Canadiens, 7, 2, 8, 16, 1, 27, 20, 182,False
1965, 10, 27,7, Boston Bruins, 4, 1, 2, 3, 2, 31, 27, 208,13, Toronto Maple Leafs, 4, 1, 0, 0, 3, 43, 9, 113,False
1965, 10, 27,1, Montreal Canadiens, 8, 2, 4, 7, 3, 31, 22, 186,11, New York Rangers, 1, 0, 3, 7, 4, 30, 31, 245,True
1965, 10, 28,17, Detroit Red Wings, 7, 2, 3, 6, 0, 23, 19, 181,12, Chicago Black Hawks, 5, 0, 6, 9, 2, 37, 5, 57,False
1965, 10, 30,7, Boston Bruins, 4, 1, 1, 1, 0, 0, 27, 212,11, New York Rangers, 1, 1, 3, 5, 4, 34, 31, 246,False
1965, 10, 30,1, Montreal Canadiens, 8, 1, 4, 6, 3, 28, 22, 183,12, Chicago Black Hawks, 5, 1, 5, 8, 1, 30, 4, 50,False
1965, 10, 30,13, Toronto Maple Leafs, 5, 1, 2, 3, 1, 39, 7, 113,17, Detroit Red Wings, 7, 1, 1, 1, 5, 21, 24, 179,True
