Year, Month, Day,Home_ID, Home_name, Home_wins_last10, Home_wins_VERSUS_last2, Home_goals_lastGame, Home_assists_lastGame, Home_GA_startingGoalie, Home_SA_startingGoalie, Home_GA_allGoalies, Home_SA_allGoalies,Away_ID, Away_name, Away_wins_last10, Away_wins_VERSUS_last2, Away_goals_lastGame, Away_assists_lastGame, Away_GA_startingGoalie, Away_SA_startingGoalie, Away_GA_allGoalies, Away_SA_allGoalies,Home_Won
2008, 10, 4,15, Ottawa Senators, 3, 2, 1, 5, 2, 29, 7, 76,27, Pittsburgh Penguins, 6, 0, 4, 1, 1, 21, 9, 78,False
2008, 10, 4,28, Tampa Bay Lightning, 2, 2, 0, 3, 3, 23, 11, 100,24, New York Rangers, 5, 0, 1, 2, 2, 27, 5, 57,False
2008, 10, 5,24, New York Rangers, 5, 1, 2, 3, 1, 21, 4, 51,28, Tampa Bay Lightning, 2, 1, 1, 1, 5, 42, 15, 160,True
2008, 10, 5,27, Pittsburgh Penguins, 7, 1, 4, 4, 3, 35, 11, 92,15, Ottawa Senators, 3, 1, 3, 5, 2, 30, 11, 107,False
2008, 10, 9,23, Colorado Avalanche, 5, 0, 4, 4, 3, 20, 6, 67,0, Boston Bruins, 4, 0, 1, 1, 2, 27, 13, 108,False
2008, 10, 9,8, Detroit Red Wings, 7, 0, 4, 5, 3, 22, 8, 85,29, Toronto Maple Leafs, 4, 1, 0, 5, 8, 37, 17, 97,False
2008, 10, 9,11, San Jose Sharks, 7, 2, 2, 5, 0, 7, 10, 51,30, Anaheim Ducks, 8, 0, 1, 3, 3, 31, 7, 108,True
2008, 10, 9,19, Vancouver Canucks, 3, 1, 0, 4, 3, 9, 8, 39,20, Calgary Flames, 5, 1, 3, 9, 3, 26, 4, 68,True
2008, 10, 10,6, Atlanta Thrashers, 3, 0, 4, 9, 1, 31, 9, 98,21, Washington Capitals, 9, 2, 4, 7, 3, 37, 8, 133,True
2008, 10, 10,18, Buffalo Sabres, 6, 0, 3, 6, 3, 25, 3, 42,16, Montreal Canadiens, 8, 2, 1, 5, 1, 27, 6, 90,True
2008, 10, 10,13, Carolina Hurricanes, 5, 1, 2, 6, 4, 17, 10, 64,12, Florida Panthers, 5, 1, 1, 2, 1, 18, 4, 56,True
2008, 10, 10,4, Dallas Stars, 3, 1, 1, 7, 2, 34, 8, 138,7, Columbus Blue Jackets, 2, 1, 2, 4, 3, 25, 6, 48,False
2008, 10, 10,1, New Jersey Devils, 4, 1, 4, 3, 2, 19, 2, 20,22, New York Islanders, 3, 1, 3, 7, 2, 47, 8, 127,True
2008, 10, 10,24, New York Rangers, 5, 0, 2, 4, 1, 19, 4, 49,2, Chicago Blackhawks, 6, 0, 2, 3, 1, 26, 9, 126,True
2008, 10, 10,26, St. Louis Blues, 4, 0, 4, 6, 0, 25, 7, 83,14, Nashville Predators, 6, 2, 2, 3, 2, 29, 5, 49,True
2008, 10, 11,20, Calgary Flames, 5, 1, 0, 1, 6, 23, 7, 65,19, Vancouver Canucks, 3, 1, 6, 9, 0, 25, 5, 55,False
2008, 10, 11,12, Florida Panthers, 4, 1, 4, 6, 5, 23, 8, 61,6, Atlanta Thrashers, 4, 1, 7, 13, 4, 43, 12, 110,True
2008, 10, 11,3, Minnesota Wild, 6, 0, 1, 3, 1, 27, 4, 63,0, Boston Bruins, 5, 0, 5, 8, 6, 20, 15, 120,True
2008, 10, 11,14, Nashville Predators, 5, 1, 2, 4, 5, 22, 8, 42,4, Dallas Stars, 3, 1, 4, 7, 5, 27, 11, 131,True
2008, 10, 11,22, New York Islanders, 3, 0, 1, 2, 2, 29, 8, 109,26, St. Louis Blues, 4, 0, 5, 9, 3, 12, 12, 92,True
2008, 10, 11,15, Ottawa Senators, 3, 1, 3, 4, 4, 30, 10, 108,8, Detroit Red Wings, 7, 0, 2, 4, 3, 29, 8, 92,False
2008, 10, 11,17, Philadelphia Flyers, 7, 2, 2, 4, 0, 20, 3, 50,24, New York Rangers, 6, 0, 4, 6, 3, 30, 5, 62,False
2008, 10, 11,25, Phoenix Coyotes, 2, 1, 2, 4, 2, 43, 8, 139,7, Columbus Blue Jackets, 2, 1, 5, 7, 4, 31, 7, 54,True
2008, 10, 11,27, Pittsburgh Penguins, 6, 2, 1, 2, 3, 27, 11, 84,1, New Jersey Devils, 5, 0, 2, 4, 1, 26, 1, 27,False
2008, 10, 11,11, San Jose Sharks, 7, 1, 4, 8, 1, 29, 11, 73,9, Los Angeles Kings, 4, 1, 2, 3, 4, 29, 21, 150,True
2008, 10, 11,28, Tampa Bay Lightning, 2, 1, 1, 2, 2, 41, 12, 157,13, Carolina Hurricanes, 6, 1, 6, 10, 3, 23, 10, 80,False
2008, 10, 11,29, Toronto Maple Leafs, 5, 1, 3, 2, 2, 37, 11, 97,16, Montreal Canadiens, 7, 1, 1, 2, 4, 37, 9, 102,False
2008, 10, 11,21, Washington Capitals, 8, 0, 4, 8, 4, 17, 13, 99,2, Chicago Blackhawks, 6, 1, 2, 3, 4, 38, 12, 129,True
2008, 10, 12,30, Anaheim Ducks, 7, 2, 1, 2, 4, 41, 7, 104,25, Phoenix Coyotes, 3, 0, 3, 6, 1, 29, 7, 125,False
2008, 10, 12,10, Edmonton Oilers, 6, 1, 0, 6, 3, 14, 4, 52,23, Colorado Avalanche, 5, 1, 4, 8, 5, 20, 7, 51,True
2008, 10, 12,9, Los Angeles Kings, 4, 1, 2, 2, 3, 41, 20, 162,11, San Jose Sharks, 7, 1, 3, 6, 4, 15, 11, 57,False
2008, 10, 13,13, Carolina Hurricanes, 6, 0, 4, 7, 4, 33, 10, 86,8, Detroit Red Wings, 7, 1, 3, 6, 4, 36, 11, 121,False
2008, 10, 13,2, Chicago Blackhawks, 5, 1, 2, 4, 4, 29, 12, 125,14, Nashville Predators, 6, 1, 3, 6, 1, 20, 5, 61,False
2008, 10, 13,22, New York Islanders, 4, 0, 5, 8, 2, 26, 8, 106,18, Buffalo Sabres, 6, 2, 1, 2, 1, 30, 2, 75,False
2008, 10, 13,24, New York Rangers, 7, 1, 4, 8, 2, 32, 5, 60,1, New Jersey Devils, 6, 1, 2, 2, 1, 15, 1, 16,True
2008, 10, 13,17, Philadelphia Flyers, 7, 0, 3, 4, 4, 14, 4, 27,16, Montreal Canadiens, 8, 2, 6, 12, 1, 36, 4, 88,False
2008, 10, 13,29, Toronto Maple Leafs, 4, 0, 1, 3, 6, 23, 15, 94,26, St. Louis Blues, 4, 1, 2, 5, 2, 22, 13, 113,False
2008, 10, 13,21, Washington Capitals, 8, 0, 4, 5, 3, 14, 9, 101,19, Vancouver Canucks, 3, 1, 5, 9, 4, 29, 9, 59,True
2008, 10, 14,6, Atlanta Thrashers, 4, 1, 2, 4, 3, 38, 8, 73,3, Minnesota Wild, 6, 0, 4, 6, 3, 37, 6, 73,False
2008, 10, 14,20, Calgary Flames, 4, 1, 3, 8, 5, 34, 5, 59,23, Colorado Avalanche, 5, 1, 2, 2, 3, 19, 5, 50,True
2008, 10, 14,9, Los Angeles Kings, 4, 0, 0, 0, 1, 19, 18, 140,30, Anaheim Ducks, 6, 2, 2, 4, 4, 24, 8, 93,True
2008, 10, 14,27, Pittsburgh Penguins, 5, 1, 1, 2, 2, 49, 7, 98,17, Philadelphia Flyers, 6, 1, 3, 4, 0, 13, 4, 39,True
2008, 10, 14,11, San Jose Sharks, 7, 2, 1, 2, 1, 13, 7, 63,7, Columbus Blue Jackets, 2, 0, 1, 2, 3, 30, 6, 53,True
